正常,你好！你需要盆栽幸福树吗？保成活…欢迎订购！
正常,"长得长,老板？？？,邮政昨天不发了,孔雀,你好,啊,只可以发EMS,你养孔雀,[大笑],好,牧草好多品种还有,孔雀是杂食动物，,现在快递只有顺丰可以发货,不知道你是喂什么的,大麦,合作愉快,可发邮政呀,燕麦,面单18元,你好？还有那些品种？,你还想要什么,[流感],你好尽快发货,[强],你好,合作愉快,这个都是拖到邮政又不能发,需要时在与你联系,好的,有马齿苋种吗,有,孔雀真好看，谢谢,拉回来的,你好，尽快发货,好的,空心菜"
风险,"您好，我是周围城市的批发商，您家产品很不错，我想和您合作采购大量
谈好了可以在这里拍商品，您伽我微信
167~1067~6495,你好老板 我想过去实地看看  吗饭加我下详谈,好的老板 微信说"
风险,"我需要大量采购，可以加微信联系一下嘛  ,成活率多少,多久可以发货,加微信了解一下,13382,660979,需要500只"
风险,"你好老板，我看你的产品不错
可以+威信不？
没问题用惠农
我的
13945
276
894
诚信合作！"
正常,你好，我想咨询一下你哪里是不是有小猪仔批发呀？
正常,你好需要正宗无核特甜沃柑苗吗
正常,"有没有货,疾情过后才好说"
正常,"欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！,我是湖南邵阳人,发不了"
正常,需要黄瓜种子吗
正常,"你好,多少发货"
风险,"能批发吗,价格还可以便宜点吗？,你是负责人吗,应该得3000颗,你:heavy_plus_sign:我细说我问问我老公他比较懂,:heavy_plus_sign:了吗,稍等我让他通过"
正常,"老板，买了什么时候可以发货,在,最低批发价多少？,3月份,您买兔子吗？,过几天发货,月底前能发货吗,欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！"
正常,我在采购圣女果，您有现货吗？价格多少？
风险,"你好,可以大批采购吗"
正常,"在不,？？,什么时候可以发货啊,哪里没有订单,？,红皮香蕉,我都申请退款了,在,你买的什么,香蕉啊,都超过48小时了"
风险,老板你好，有个合作能找您谈下吗？如有意向的话加下shyun0816，我想一定不会让您失望的26
正常,你好，韭菜头茬，二茬的
风险,"在么？,哥,我是采购货源的，所以要的比较多,你看。。可不可以＋一下我老板的wx"
风险,"最低批发价多少？,运费怎么算？,怎么联系你"
正常,"发一罐90元,包发,要一盒,申通百世韵达快递都可以,好的,发申通,可以,发申通，不要发百世,最低多少价,可以,欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！,发哪家快递"
正常,"可以,花卉苗木果树都需要,我不是大面积种植的，每种都给给发一点点行吗,是的，现在可以发货了吗,你是帮别人代发的吗,72种,现在发不了，得过几天吧,一点是多少颗呢,我店铺里的都要吗,你要多少种？都是什么苗子呢,好像你店铺有好多果树苗卖,发哪里,需要多少,你好老板需要玉兰花吗,你想要什么样的苗木可以去我店铺选,江西现在还不能发,你有甜柿树苗吗,不是,有,自己家的货,好我看一下你店铺哈,有多少种, 江西省赣州市,是的,每种都三两棵"
正常,"你要什么,欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！,可以,这几天能发货吗？"
风险,"老板家的产品方便加个微信了解下吗
聊好了可在这里下单
我这加客户过多被限制麻烦您+我了
1672~513~25~69,那麻烦你加我下  我现在 回不了"
正常,"您已跟对方成功接通电话，赶紧“关注”他，成为生意伙伴吧！,欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！,你好,你好,你好，我刚打了你的电话，但是你没接，期待你给我回复。,在吗老乡"
风险,"您好，我是周围城市的批发商，您家产品很不错，我想和您合作采购大量
谈好了可以在这里拍商品，您伽我威**信
180~
6246~
0979
伽我的时候备注下卖啥,加我微信聊,180~
6246~
0979"
正常,"欢迎光临本店，量大价格从优，支持惠农网在线交易，看到您的留言我将马上回复，您也可以选择来电咨询哦！,可以送到广西平南吗？运费怎算？"
